Id,Dataset Name,Agency,Instrument,Physical variable,var,Units,Grid Dimension,Variable Name in Web Interface,model,Dataset Start Time,Dataset End Time
33,E2-H Surface Upwelling Longwave Radiation,GISS,E2-H,Surface Upwelling Longwave Radiation,rlus,W m-2,2D,Surface Upwelling Longwave Radiation,GISS_E2-H,199412,200511
34,E2-H Surface Upwelling Shortwave Radiation,GISS,E2-H,Surface Upwelling Shortwave Radiation,rsus,W m-2,2D,Surface Upwelling Shortwave Radiation,GISS_E2-H,199412,200511
35,E2-H Surface Downwelling Clear-Sky Longwave Radiation,GISS,E2-H,Surface Downwelling Clear-Sky Longwave Radiation,rldscs,W m-2,2D,Surface Downwelling Clear-Sky Longwave Radiation,GISS_E2-H,199412,200511
36,E2-H Surface Downwelling Clear-Sky Shortwave Radiation,GISS,E2-H,Surface Downwelling Clear-Sky Shortwave Radiation,rsdscs,W m-2,2D,Surface Downwelling Clear-Sky Shortwave Radiation,GISS_E2-H,199412,200511
37,E2-H Surface Upwelling Clear-Sky Shortwave Radiation,GISS,E2-H,Surface Upwelling Clear-Sky Shortwave Radiation,rsuscs,W m-2,2D,Surface Upwelling Clear-Sky Shortwave Radiation,GISS_E2-H,199412,200511
38,E2-H TOA Incident Shortwave Radiation,GISS,E2-H,TOA Incident Shortwave Radiation,rsdt,W m-2,2D,TOA Incident Shortwave Radiation,GISS_E2-H,199412,200511
39,E2-H TOA Outgoing Longwave Radiation,GISS,E2-H,TOA Outgoing Longwave Radiation,rlut,W m-2,2D,TOA Outgoing Longwave Radiation,GISS_E2-H,199412,200511
40,E2-H TOA Outgoing Shortwave Radiation,GISS,E2-H,TOA Outgoing Shortwave Radiation,rsut,W m-2,2D,TOA Outgoing Shortwave Radiation,GISS_E2-H,199412,200511
41,E2-H TOA Outgoing Clear-Sky Longwave Radiation,GISS,E2-H,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs,W m-2,2D,TOA Outgoing Clear-Sky Longwave Radiation,GISS_E2-H,199412,200511
42,E2-H TOA Outgoing Clear-Sky Shortwave Radiation,GISS,E2-H,TOA Outgoing Clear-Sky Shortwave Radiation,rsutcs,W m-2,2D,TOA Outgoing Clear-Sky Shortwave Radiation,GISS_E2-H,199412,200511
43,E2-H Air Temperature,GISS,E2-H,Air Temperature,ta,K,3D,Air Temperature,GISS_E2-H,199412,200511
44,E2-H Specific Humidity,GISS,E2-H,Specific Humidity,hus,1,3D,Specific Humidity,GISS_E2-H,199412,200511
45,E2-H Cloud Ice Water Content,GISS,E2-H,Cloud Ice Water Content,cli,1,3D,Cloud Ice Water Content,GISS_E2-H,195112,200511
46,E2-H Cloud Liquid Water Content,GISS,E2-H,Cloud Liquid Water Content,clw,1,3D,Cloud Liquid Water Content,GISS_E2-H,195112,200511
47,E2-H Vertical Wind Velocity,GISS,E2-H,Vertical Wind Velocity,wap,m s-1,3D,Vertical Wind Velocity,GISS_E2-H,195112,200511
48,E2-H Relative Humidity,GISS,E2-H,Relative Humidity,hur,%,3D,Relative Humidity,GISS_E2-H,195112,200511
49,E2-R Precipitation Flux,GISS,E2-R,Precipitation Flux,pr,kg m-2 s-1,2D,Precipitation Flux,GISS_E2-R,199412,200511
50,E2-R Total Cloud Fraction,GISS,E2-R,Total Cloud Fraction,clt,%,2D,Total Cloud Fraction,GISS_E2-R,199412,200511
51,E2-R Surface Temperature,GISS,E2-R,Surface Temperature,ts,K,2D,Surface Temperature,GISS_E2-R,199412,200511
