User,Dataset Name,Num_Times_Used
jnanteza,MODIS Leaf Area Index,18
ksauter,CERES Surface Upwelling Clear-Sky Shortwave Radiation,1
kwillmot,GRACE Equivalent Water Height Over Ocean,1
mlinz,MODIS Total Cloud Fraction,29
ksauter,CERES Surface Downwelling Shortwave Radiation,8
jnanteza,ESM2G Precipitation Flux,6
jbrodie,ESM2G Precipitation Flux,37
kwillmot,AIRS Near-Surface Air Temperature,28
fcannon,E2-H Precipitation Flux,7
fpolverari,TRMM Precipitation Flux,13
fcannon,NORESM Precipitation Flux,3
fcannon,HadGEM2-ES Precipitation Flux,1
rbuchholz,AIRS Near-Surface Air Temperature,25
rbuchholz,MODIS Leaf Area Index,129
ksauter,interim Sea Surface Temperature,2
nkille,AIRS Near-Surface Air Temperature,19
fcannon,TRMM Precipitation Flux,5
kwillmot,AIRS Air Temperature,11
jbrodie,GPCP Precipitation Flux,1
fpolverari,QuikSCAT Eastward Near-Surface Wind,3
fpolverari,QuikSCAT Near-Surface Wind Speed,3
jbrodie,HadGEM2-ES Precipitation Flux,4
htseng,ESM2G Precipitation Flux,5
jbrodie,E2-H Precipitation Flux,6
nkille,ESM2G Precipitation Flux,3
jbrodie,NORESM Precipitation Flux,2
fcannon,ESM2G Surface Temperature,2
jbrodie,CAM5 Precipitation Flux,4
kneff,TRMM Precipitation Flux,3
jbrodie,E2-R Precipitation Flux,2
ksauter,GPCP Precipitation Flux,13
fcannon,E2-H Sea Surface Temperature,4
fcannon,CAM5 Sea Surface Temperature,3
emaroon,AMSRE Sea Surface Temperature,20
jgristey,CERES Surface Downwelling Longwave Radiation,1
fcannon,NORESM Sea Surface Temperature,2
kneff,MODIS Leaf Area Index,5
nkille,TRMM Precipitation Flux,20
fcannon,HadGEM2-ES Sea Surface Temperature,1
nkille,CERES Surface Downwelling Shortwave Radiation,8
kneff,CERES Surface Downwelling Longwave Radiation,1
rbuchholz,CERES Surface Downwelling Longwave Radiation,5
rbuchholz,CERES Surface Downwelling Shortwave Radiation,17
kneff,CERES Surface Downwelling Shortwave Radiation,3
emaroon,AIRS Specific Humidity,2
mlinz,AMSRE Sea Surface Temperature,23
ksauter,ARGO Ocean Temperature,5
jbrodie,MK3.6 Precipitation Flux,1
jbrodie,CM3 Precipitation Flux,1
jbrodie,CM5A-LR Precipitation Flux,1
jbrodie,MIROC5 Precipitation Flux,4
rbuchholz,GPCP Precipitation Flux,4
jbrodie,HadGEM2-A Precipitation Flux,1
ksauter,QuikSCAT Eastward Near-Surface Wind,1
